title,content,word_count,topic
शहरीकरण,"शहरी क्षेत्रों के भौतिक विस्तार (क्षेत्रफल, जनसंख्या आदि का विस्तार) शहरीकरण (Urbanisation) कहलाता है। यह एक वैश्विक परिवर्तन है। संयुक्त राष्ट्र संघ की परिभाषा के अनुसार, ग्रामीण क्षेत्रों के लोगों का शहरों में जाकर रहना और काम करना भी 'शहरीकरण' है।
शहरीकरण या नगरीकरण एक ऐसी प्रक्रिया है जिसके अंतर्गत एक समाज के समुदाय के आकार और शक्ति में वृध्दि होती रहती है जब तक की वे संपूर्ण जनसंख्या के अधिकांश भाग को सम्मिलित नहीं कर लेते हैं और सम्पूर्ण समाज पर प्रकार्यात्मक और सांस्कृतिक आधिपत्य स्थापित नही कर लेते।
किसी राष्ट्र की जनसंख्या का बढ़ता हुआ आकार जब शहर की तरफ निवास के लिए जमा होता है तो उसे नगरीकरण या “शहरीकरण” कहते है।
वैसा प्रक्रिया जिसके अंतर्गत शहरों का अधिक पैमाने पर विस्तार होता है, शहरीकरण कहलाता है ।
उपरोक्त आधार पर यह स्पष्ट है कि शहरीकरण वास्तव में एक सतत परिवर्तनशील प्रक्रिया है, जो ग्रामीण और शहरी जीवन के बीच एक प्रकार का अंतर पैदा करती है। जिसमें ग्रामीण क्षेत्रों की जनसंख्या का शहरी क्षेत्रों की ओर पलायन को भी समझा जा सकता है।",177,शहरीकरण
भारत में शहरीकरण,भारत में शहरीकरण स्वतन्त्रता के बाद होने वाली वह घटना है जिसमें भारत में नगरों कि संख्या और आकार में तेज़ी से बढ़ोत्तरी हुई है और साथ ही कुल जनसंख्या में शहरी जनसंख्या का प्रतिशत भी बढ़ा है।,38,शहरीकरण
विश्व शहरीकरण दिवस,"विश्व शहरीकरण दिवस (अंग्रेज़ी: World Urbanism Day) प्रतिवर्ष 8 नवंबर को विश्व स्तर पर मनाया जाता है। इसे विश्व नगर नियोजन दिवस के रूप में भी जाना जाता है। इस दिन की स्थापना 1949 में ब्यूनस आयर्स विश्वविद्यालय के दिवंगत प्रोफेसर कार्लोस मारिया डेला पाओलेरा द्वारा की गई थी। विश्व शहरीकरण दिवस शहरों और क्षेत्रों के विकास से उत्पन्न पर्यावरणीय प्रभाव की ओर ध्यान आकर्षित करने के लिए, वैश्विक परिप्रेक्ष्य से योजना को देखने का अवसर प्रदान करता है।",79,शहरीकरण
देश द्वारा शहरीकरण,यह देशों द्वारा उनके शहरीकरण के आँकड़े हैं।,8,शहरीकरण
लैंडस्केप शहरीकरण,"लैंडस्केप शहरीकरण (Landscape urbanism)  शहरी और क्षेत्रीय नियोजन के क्षेत्र में एक नया सिद्धांत है जो पहली बार देर से २० वीं सदी में सामने आया है, जिसमें दावा किया गया है कि शहरों को व्यवस्थित करने का सबसे अच्छा तरीका शहर के परिदृश्य डिजाइन के बजाय है। इसकी इमारतों का डिजाइन। वाक्यांश शहरी परिदृश्य पहली बार मध्य में दिखाई दिया - १ ९९ ०। तब से इस वाक्यांश को कई अलग-अलग उपयोग प्राप्त हुए हैं, लेकिन अक्सर ""न्यू अर्बनिज़्म"" की विफलताओं के बाद आधुनिकतावादी या उत्तर-आधुनिकतावादी प्रतिक्रिया के रूप में उद्धृत किया जाता है।
2008 में लैंडस्केप अर्बनिज़्म की दुनिया में पहला बिएनले बॅट-यम इज़राइल के शहर में आयोजित किया गया, जो न्यू अर्बनिज्म से निपटा।",117,शहरीकरण
शहर,"शहर बड़ी और स्थायी [[मानव बस्ती] होती है। गाँव विकसित होके यह शहर बनता है।
ऐतिहासिक रूप से शहरवासियों का समग्र रूप से मानवता में छोटा सा अनुपात रहा है। लेकिन आज दो शताब्दियों से अभूतपूर्व और तेजी से शहरीकरण के कारण, कहा जाता है कि आज आधी आबादी शहरों में रह रही हैं। वर्तमान में शहर आमतौर पर बड़े महानगरीय क्षेत्र और शहरी क्षेत्र के केंद्र होते हैं। सबसे आबादी वाला उचित शहर शंघाई है।
एक शहर अन्य मानव बस्तियों से अपने अपेक्षाकृत बड़े आकार के कारण भिन्न होता है। शहर अकेले आकार से ही अलग नहीं है, बल्कि यह एक बड़े राजनीतिक संदर्भ में भूमिका निभाता है। शहर अपने आसपास के क्षेत्रों के लिए प्रशासनिक, वाणिज्यिक, धार्मिक और सांस्कृतिक केंद्रों के रूप में सेवा देता है। एक विशिष्ट शहर में पेशेवर प्रशासक, नियम-कायदे होते हैं और सरकार के कर्मचारियों को खिलाने के लिए कराधान भी। शहर शब्द फारसी से हिन्दी भाषा में आया है। पुराना संस्कृत शब्द नगर भी उपयोग किया जाता विशेषकर सरकारी कार्य में जैसे कि नगर निगम।",172,शहरीकरण
शहरी क्षेत्र,"वो क्षेत्र जिनका जनसंख्या घनत्व उनके आसपास के क्षेत्रों की तुलना में अधिक और जहां मानवीय सुविधाओं की उपलब्धता प्रचुर मात्रा में होती है, शहरी क्षेत्र कहलाते हैं। एक शहरी क्षेत्र, शहर या कस्बा हो सकता है पर ग्रामीण क्षेत्र जैसे कि गांव और अर्ध ग्रामीण बस्तियाँ इसकी परिभाषा के अंतर्गत नहीं आते। 
शहरी क्षेत्रों का सृजन और विकास शहरीकरण नामक प्रक्रिया द्वारा होता है। किसी शहरी क्षेत्र का सीमा निर्धारण उस क्षेत्र के जनसंख्या घनत्व और शहरी फैलाव के विश्लेषण और शहरी और ग्रामीण जनसंख्या को निर्धारित करने में मदद करता है, (क्यूबिलास 2007)।",95,शहरीकरण
चीन में नगरीकरण,,0,शहरीकरण
वैश्विक विकास सम्मेलन २०१२,"वैश्विक विकास सम्मेलन (Global Development Conference) विश्व बैंक द्वारा १९९९ में प्रारंभ किया गया एक अंतर्राष्ट्रीय सहयोग मंच है। यह सम्मेलन प्रति वर्ष आयोजित किया जाता है। वैश्विक विकास सम्मेलन सतत विकास की चिंताओं से संबद्ध राष्ट्रों के मध्य दक्षिण-दक्षिण सहयोग का मंच है। इस मंच का १३ वाँ वार्षिक सम्मेलन हंगरी की राजधानी बुडापेस्ट में केंद्रीय यूरोपीय विश्वविद्यालय के तत्वाधान में १६ से १८ जून २0१२ तक आयोजित किया गया। इस बार के वार्षिक सम्मेलन का केंद्रीय विषय था- शहरीकरण और विकास। इस मंच के अनुसार जिन देशों में ५0% तक शहरीकरण हो चुका है, वहाँ गरीबी और शिशु मृत्यु दर में गिरावट दर्ज़ की गयी है।",108,शहरीकरण
पॉल क्रूगमैन,"पॉल क्रूगमैन अमेरिका के प्रिन्सटन विश्वविद्यालय में अर्थशास्त्र और अंतरराष्ट्रीय मामलों के प्रोफेसर हैं। वे न्यूयॉर्क टाइम्स अख़बार में नियमित कॉलम भी लिखते हैं। उन्हें अर्थशास्त्र के क्षेत्र में वर्ष २००८ के नोबेल पुरस्कार के लिए चुना गया है। इस पुरस्कार में १४ लाख डालर की राशि दी जाती है। इस पुरस्कार की शुरुआत मूल नोबेल पुरस्कारों से काफी बाद में १९६० में की गई थी और इसे आर्थिक जगत में स्विरिज्स रिक्सबैंक प्राइज के नाम से जाना जाता है। नोबेल पुरस्कार समिति के निर्णायक मंडल के सदस्यों का कहना है कि मुक्त व्यापार, भूमंडलीकरण के प्रभावों और दुनिया में शहरीकरण के पीछे काम कर रही शक्तियों के विश्लेषण में क्रूगमैन का दिया सिद्धांत कारगर है। अकादमी ने अपनी प्रशस्ति में कहा, ""इस तरह से उन्होंने अंतर्राष्ट्रीय व्यापार और आर्थिक भूगोल जैसे विषयों को एक साथ विश्लेषित किया है।""",139,शहरीकरण
