title,content,word_count,topic
फ़ैशन,"फ़ैशन 2008 की भारतीय ड्रामा फ़िल्म है। इसके सह-निर्माता और सह-लेखक मधुर भंडारकर हैं तथा इसमें मुख्य भूमिका में प्रियंका चोपड़ा और कंगना रनौत, मुग्धा गोडसे, अर्जन बाजवा और अरबाज़ ख़ान सहायक भूमिका में हैं। इसके साथ-साथ कई असल जीवन की फ़ैशन मॉडल ने अपने आपको फ़िल्म में किरदार के तौर पर निभाया है। फ़िल्म की कहानी एक छोटे शहर की महत्वाकांक्षी मॉडल मेघना माथुर (चोपड़ा) के इर्दगिर्द घूमती है। फ़िल्म दर्शाती है कि कैसे माथुर एक सुपरमॉडल बनती है और इस लक्ष्य को प्राप्त करने के लिए उसे जीवन में कितनी कठिनाईयां झेलनी पड़ती हैं। फ़ैशन में भारतीय फ़ैशन उद्योग और कई मॉडल के कैरियर के उतार-चढ़ाव को भी दिखाया गया है।",113,फैशन
फैशन टीवी,फैशन टीवी एक भारत में प्रसारित होने वाला अंग्रेज़ी चैनल है।,11,फैशन
फैशन (1957 फ़िल्म),"फैशन 1957 में बनी हिन्दी भाषा की फिल्म है।
मनोज कुमार की पहली फिल्म है।",15,फैशन
लक्मे फैशन वीक,"लक्मे फैशन वीक
लक्मे फैशन वीक में जगह लेता है एक द्वि-वार्षिक फैशन इवेंट है मुंबई। इसकी सेहतगाह शो फरवरी में जगह लेता है whiles सर्दी-उत्सव दिखाने के हर अगस्त जगह लेता है। यह एक प्रमुख फैशन घटना भारत में माना जाता है। द्वारा चलाया जाता है फैशन डिजाइन काउंसिल भारत की (एफडीसीआई) और शीर्षक का प्रायोजक है लॅक्मे।
घटना पहली बार १९९९ में जगह अंतरराष्ट्रीय मॉडल इस तरह के रूप में लिया और नाओमी कैंपबेल जैसे भारतीय फिल्मी सितारों और साथ ही दीपिका पादुकोण, मलाइका अरोड़ा खान और अर्जुन रामपाल इसमें भाग लिया है। अंतरराष्ट्रीय लेबल है कि LFW में भाग लिया है में शामिल हैं झोला, डोल्से और गब्बाना और रॉबर्टो कवेली। भारतीय डिजाइनरों के बीच मनीष मल्होत्रा, रोहित बल, तरुण ताहिलियाणीऔर रितु बेरी भाग लिया है [4] घटना। [5] घटना हो गया है इस तरह के रूप में डिजाइनर का कैरियर शुरू करने के लिए जिम्मेदार टॉप्स मुखर्जी। [6]",152,फैशन
रितु बेरी,"रितु बेरी (अंग्रेज़ी: Ritu Beri) (पंजाबी: ਰਿਤੂ ਬੇਰੀ) नई दिल्ली स्थित अंतर्राष्ट्रीय फैशन डिजाइनर हैं। वे पहली एशियाई डिजाइनर हैं जिन्होंने फ्रेंच फैशन ब्रांड शेरेर की अगुआई की। 16 मार्च, 2016 को खादी एवं ग्रामोद्योग आयोग (KVIC) ने भारत और विश्व में खादी उद्योग को बढ़ावा देने हेतु प्रसिद्ध फैशन डिजाइनर रितु बेरी को अपना सलाहकार नियुक्त किया। आयोग ने उन्हें 1 वर्ष की अवधि के लिए सलाहकार के रूप में नियुक्त किया है। अपने कार्यकाल के दौरान वे खादी उत्पादों को बढ़ावा देने के तरीके को बताएंगी।",88,फैशन
मसाबा गुप्ता,मसाबा गुप्ता एक भारतीय फ़ैशन डिज़ाइनर हैं। उन्होंने कई भारतीय अभिनेत्रियों के लिये अपनी सेवाएं प्रदान की हैं।,18,फैशन
मनीष अरोड़ा,"मनीष अरोड़ा एक भारतीय फैशन डिजाइनर है, जो नई दिल्ली में रहते हैं।",13,फैशन
आयनन,"इरफ़ान खाँ यौसफ़ज़ाई (English:Irfan Khan Yousafzai) एक भारतीय मॉडल हैं, जिहोने ४०० से भी अधिक ब्रांड्स के साथ काम किया हैं।",21,फैशन
प्रवेश राणा,"प्रवेश राणा एक पुरुष मॉडल और मिस्टर इण्डिया २००८ और रिएलिटी टीवी शो प्रतिभागी हैं। २००९ में उन्होंने एक रिएलिटी टीवी श्रृंखला, बिग बॉस में अपूर्वानुमेय प्रविष्टि पाई थी।",29,फैशन
अस्मा हुसैन,"साहिबजादी अस्मा हुसैन एक भारतीय फ़ैशन डिज़ाइनर हैं। वह अवध के शाही परिवार से ताल्लुक रखती हैं और अवध के नवाब शुजाउद्दौला की वंशज हैं।
अस्मा हुसैन ने 1994 में अपना पहला संग्रह प्रदर्शित किया, और उसी वर्ष उत्तर प्रदेश में अस्मा हुसैन इंस्टीट्यूट ऑफ फैशन टेक्नोलॉजी (एआईएफटी) की स्थापना की। संस्थान को भारत सरकार की राष्ट्रीय व्यावसायिक प्रशिक्षण परिषद द्वारा मान्यता प्राप्त है।
हुसैन एक गैर सरकारी संगठन यूथ अपलिफ्टमेंट एंड वेलफेयर एसोसिएशन (YUWA) के अध्यक्ष और प्रबंध निदेशक हैं। उनका लखनऊ में एक डिजाइनर आउटलेट अस्मा हुसैन फैशन हाउस (एएचएफएच) भी है। वह फैशन डिजाइन काउंसिल ऑफ इंडिया (FDCI), विल्स इंडिया फैशन वीक, भारत में डिजाइनरों की परिषद का हिस्सा हैं।",113,फैशन
