title,content,word_count,topic
राष्ट्रीय हिमालयी पर्यावरण एवं सतत विकास संस्थान,"गोविन्द बल्लभ पंत राष्ट्रीय हिमालयी पर्यावरण एवं सतत विकास संस्थान (जीबीपीएनआईएचईएसडी) भारत के उत्तराखण्ड राज्य के अल्मोड़ा नगर में स्थित एक स्वायत्त संस्थान है। इसकी स्थापना १९८८-८९ में भारत रत्न पंडित गोविंद बल्लभ पंत के जन्म शताब्दी वर्ष के दौरान पर्यावरण और वन मंत्रालय, भारत सरकार के संस्थान के रूप में की गई थी। इसकी पहचान वैज्ञानिक ज्ञान को उन्नत करने, एकीकृत प्रबंधन रणनीति तैयार करने, प्राकृतिक संसाधनों के संरक्षण के लिए अपनी क्षमता का प्रदर्शन करने और संपूर्ण भारतीय हिमालय क्षेत्र (आईएचआर) में पर्यावरण की दृष्टि से ठोस विकास सुनिश्चित करने के लिए एक केंद्रीय एजेंसी के रूप में की गई है। 
यह संस्थान सामाजिक, पारिस्थितिक, आर्थिक और भौतिक प्रणालियों के बीच के जटिल संबंधों में संतुलन बनाए रखने का प्रयास करता है, जिससे भारतीय हिमालय क्षेत्र (आईएचआर) में स्थिरता बनाई रखी जा सके। इस लक्ष्य को हासिल करने के लिए संस्थान प्राकृतिक और सामाजिक विज्ञानों के पारस्परिक संबंधों पर जोर देते हुए अपने सभी अनुसंधान और विकास कार्यक्रमों में बहु-विषयक और समग्र दृष्टिकोण का अनुसरण करता है। इस प्रयास में नाजुक पर्वतीय पारितंत्रों, ज्ञान प्रणालियों और प्राकृतिक संसाधनों के सतत उपयोग के संरक्षण पर विशेष रूप से ध्यान दिया जाता है। विभिन्न कार्यक्रमों की दीर्घकालिक स्वीकार्यता और सफलता के लिए स्थानीय निवासियों की भागीदारी सुनिश्चितत करने के लिए एक सार्थक प्रयास किया जाता है। विभिन्न हितधारकों के लिए प्रशिक्षण,पर्यावरण शिक्षा और जागरूकता संस्थान के सभी अनुसंधान और विकास कार्यक्रमों के आवश्यक घटक हैं।
संस्थान के मुख्यालय अल्मोड़ा में स्थित हैं, और इसके अतिरिक्त इसकी पांच अन्य इकाईयां गढ़वाल (श्रीनगर), हिमाचल (कुल्लू), सिक्किम (गंगटोक), पूर्वोत्तर (ईटानगर) तथा पर्वतीय प्रभाग (नई दिल्ली) हैं।


== बाहरी कड़ियाँ ==
आधिकारिक जालस्थल


== सन्दर्भ ==
""G. B. Pant Institute of Himalayan Environment & Development"". careern.in. मूल से 30 दिसंबर 2017 को पुरालेखित. अभिगमन तिथि ३० दिसम्बर २०१७.
""राष्ट्रीय बना पर्यावरण संस्थान"". अल्मोड़ा: दैनिक जागरण. ९ जून २०१६. मूल से 30 दिसंबर 2017 को पुरालेखित. अभिगमन तिथि ३० दिसम्बर २०१७.
""अल्मोड़ा का जीबी पंत हिमालय पर्यावरण संस्थान बना राष्ट्रीय संस्थान"". १० जून २०१६. मूल से 31 दिसंबर 2017 को पुरालेखित. अभिगमन तिथि ३० दिसम्बर २०१७.",341,पर्यावरण
सेंटर फॉर साइंस एंड इनवायरमेंट + Extra from सेंटर फॉर साइंस एंड इनवायरमेंट + Extra from सेंटर फॉर सा,"संगठन का नाम: सेंटर फॉर साइंस एंड इनवायरमेंट


== पता: ==
41, तुगलकाबाद
इंस्टीट्यूशनल एरिया, नई दिल्ली - 110062

राज्य: नई दिल्ली
फोन: 91 - 11 - 29955124, 29956110, 29956394
फैक्स: 91 - 11 - 29955879
ईमेल: cse@cseindia.org
वेबसाइट: www.cse.india.org
सम्पर्क व्यक्ति: सुनीता नारायण (निदेशक)


== विशेषज्ञता ==
पर्यावरण के मुद्दे
अनुसंधान और वकालत
कुशल जल प्रबंधन और सुरक्षित हवा सहित टिकाऊ पर्यावरण पर बल
पर्यावरण शिक्षा

* संगठन का नाम: सेंटर फॉर साइंस एंड इनवायरमेंट

== पता: ==
41, तुगलकाबाद<br />
इंस्टीट्यूशनल एरिया, नई दिल्ली - 110062

* राज्य: नई दिल्ली
* फोन: 91 - 11 - 29955124, 29956110, 29956394
* फैक्स: 91 - 11 - 29955879
* ईमेल: cse@cseindia.org

* वेबसाइट: www.cse.india.org
* सम्पर्क व्यक्ति: सुनीता नारायण (निदेशक)

== विशेषज्ञता ==
* पर्यावरण के मुद्दे
* अनुसंधान और वकालत
* कुशल जल प्रबंधन और सुरक्षित हवा सहित टिकाऊ पर्यावरण पर बल
* पर्यावरण शिक्षा

[[श्रेणी:सरकारी संस्थान]]

* संगठन का नाम: सेंटर फॉर साइंस एंड इनवायरमेंट

== पता: ==
41, तुगलकाबाद<br />
इंस्टीट्यूशनल एरिया, नई दिल्ली - 110062

* राज्य: नई दिल्ली
* फोन: 91 - 11 - 29955124, 29956110, 29956394
* फैक्स: 91 - 11 - 29955879
* ईमेल: cse@cseindia.org

* वेबसाइट: www.cse.india.org
* सम्पर्क व्यक्ति: सुनीता नारायण (निदेशक)

== विशेषज्ञता ==
* पर्यावरण के मुद्दे
* अनुसंधान और वकालत
* कुशल जल प्रबंधन और सुरक्षित हवा सहित टिकाऊ पर्यावरण पर बल
* पर्यावरण शिक्षा

[[श्रेणी:सरकारी संस्थान]]

",229,पर्यावरण
चार्ल्स डार्विन फाउंडेशन + Extra from चार्ल्स डार्विन फाउंडेशन,"चार्ल्स डार्विन फाउंडेशन की स्थापना सन 1959 में, यूनेस्को और विश्व संरक्षण संघ के तत्वावधान में हुई थी। चार्ल्स डार्विन फाउंडेशन प्यूर्टो अयोरा, गैलापागोस, ईक्वाडोर में स्थित है। फाउंडेशन गैलापागोस द्वीपसमूह के पारिस्थितिकी तंत्र के संरक्षण के लिए समर्पित है। चार्ल्स डार्विन अनुसंधान केन्द्र फाउंडेशन के मुख्यालय के रूप में कार्य करता है और इसका प्रयोग संरक्षण के लिए वैज्ञानिक अनुसंधान और पर्यावरण शिक्षा को बढ़ावा देने के लिए किया जाता है। केन्द्र के पास विश्व भर से आये सौ से अधिक वैज्ञानिकों, शिक्षकों, स्वयंसेवकों, शोध छात्रों और सहयोगी स्टाफ की एक टीम है। फाउंडेशन सरकार के साथ लगातार निकट संपर्क बरकरार रखती है और पूरे ईक्वाडोर में गैलापागोस संरक्षण को बढ़ावा देती है।


== सन्दर्भ ==

'''चार्ल्स डार्विन फाउंडेशन''' की स्थापना सन 1959 में, [[युनेस्को|यूनेस्को]] और [[विश्व संरक्षण संघ]] के तत्वावधान में हुई थी। चार्ल्स डार्विन फाउंडेशन प्यूर्टो अयोरा, [[गैलापागोस द्वीपसमूह|गैलापागोस]], [[ईक्वाडोर]] में स्थित है। फाउंडेशन गैलापागोस द्वीपसमूह के पारिस्थितिकी तंत्र के संरक्षण के लिए समर्पित है। [[चार्ल्स डार्विन अनुसंधान केन्द्र]] फाउंडेशन के मुख्यालय के रूप में कार्य करता है और इसका प्रयोग संरक्षण के लिए वैज्ञानिक अनुसंधान और पर्यावरण शिक्षा को बढ़ावा देने के लिए किया जाता है। केन्द्र के पास विश्व भर से आये सौ से अधिक वैज्ञानिकों, शिक्षकों, स्वयंसेवकों, शोध छात्रों और सहयोगी स्टाफ की एक टीम है। फाउंडेशन सरकार के साथ लगातार निकट संपर्क बरकरार रखती है और पूरे ईक्वाडोर में गैलापागोस संरक्षण को बढ़ावा देती है।

== सन्दर्भ ==
{{टिप्पणीसूची}}

[[श्रेणी:संस्था]]

",237,पर्यावरण
शिक्षा संस्कृति उत्थान न्यास,"शिक्षा संस्कृति उत्थान न्यास भारत में शिक्षा एवं संस्कृति के क्षेत्र में कार्य करने वाला न्यास है। इसकी स्थापना १८ मई २००७ को की गयी थी।
इसके संस्थापक दीनानाथ बत्रा हैं जो राष्ट्रीय स्वयंसेवक संघ के पूर्व प्रचारक तथा विद्या भारती के पूर्व निदेशक हैं। यह न्यास अपने सहयोगी संगठनों जैसे, शिक्षा बचाओ आन्दोलन समिति के निकट सहयोग से काम करता है। इस न्यास का घोषित लक्ष्य वर्तमान शिक्षा व्यवस्था की वैकल्पिक व्यवस्था की स्थापना करना है। इस लक्ष्य की प्राप्ति के लिये लिये यह संस्था शिक्षा के पाठ्यक्रम, प्रणाली, विधि और नीति को बदलने तथा शिक्षा के 'भारतीयकरण' को आवश्यक मानती है।


== प्रमुख सदस्य ==
दीनानाथ बत्रा के अलावा इस न्यास के प्रमुख सदस्य निम्नलिखित हैं-

जगमोहन सिंह राजपूत - राष्ट्रीय शैक्षिक अनुसंधान और प्रशिक्षण परिषद के भूतपूर्व अध्यक्ष
कपिल कपूर - जवाहरलाल नेहरू विश्वविद्यालय के पूर्व प्रो-उपकुलपति तथा विश्वविद्यालय अनुदान आयोग की समीक्षा समिति के वर्तमान सदस्य
अतुल कोठारी - अखिल भारतीय विद्यार्थी परिषद के पूर्व सचिव तथा शिक्षा बचाओ आन्दोलन समिति के सह-संयोजक। वे शिक्षा संस्कृति उत्थान न्यास के महासचिव भी हैं।


== कार्य ==
२०१४ में श्री बत्रा के एक वक्तव्य के अनुसार, न्यास का कार्य छः मुख्य क्षेत्रों में केन्द्रित है-

छात्र का सम्पूर्ण विकास
चरित्र निर्माण
पर्यावरण
वैदिक गणित
हिन्दी तथा भारतीय भाषाएँ
शिक्षा क्षेय्र की स्वायत्तता
स्वायत्तता के के बारे में न्यास ने मांग की है कि एक अखिल भारतीय, स्वायत्त अशासकीय), शिक्षा आयोग बनाया जाय। न्यास ने 'भारतीय शिक्षा नीति आयोग' नामक २१ सदस्यीय एक आयोग का प्रस्ताव भी किया है तथा उसके ९ सदस्यों को नियुक्त भी किया जा चुका है जिनमें केंद्रीय माध्यमिक शिक्षा बोर्ड (सीबीएसएए) के पूर्व निदेशक बद्रीनाथ खण्डेलवाल भी सम्मिलित हैं।


== सन्दर्भ ==


== बाहरी कड़ियाँ ==
शिक्षा संस्कृति उत्थान न्यास का जालघर
The works of Shiksha Sanskriti Utthan Nyas",295,पर्यावरण
वाटर कम्युनिटी इंडिया + Extra from वाटर कम्युनिटी इंडिया + Extra from वाटर कम्युनिटी इंडिया + Extra ,"संगठन का नाम: वाटर कम्युनिटि इंडिया


== पता: ==
दिल्ली - 110091
राज्य: दिल्ली
फोन: 9250725116 9211530510
ईमेल: water.community@gmail.com
वेबसाइट: watercommunity.in
सम्पर्क व्यक्ति: मीनाक्षी अरोड़ा (चेयर पर्सन)
शिराज केसर
विशेषज्ञता
पानी पर जन जागरूकता अभियान
वाटर लिटरेसी कार्यक्रम
जल और स्वच्छता पर एडवोकेसी और अभियान
पर्यावरण शिक्षा

* संगठन का नाम: वाटर कम्युनिटि इंडिया

== पता: ==
* दिल्ली - 110091
* राज्य: दिल्ली
* फोन: 9250725116 9211530510
* ईमेल: water.community@gmail.com

* वेबसाइट: watercommunity.in

* सम्पर्क व्यक्ति: मीनाक्षी अरोड़ा (चेयर पर्सन)
शिराज केसर<br />
विशेषज्ञता<br />
पानी पर जन जागरूकता अभियान<br />
वाटर लिटरेसी कार्यक्रम<br />
जल और स्वच्छता पर एडवोकेसी और अभियान<br />
पर्यावरण शिक्षा

[[श्रेणी:सरकारी संस्थान]]

* संगठन का नाम: वाटर कम्युनिटि इंडिया

== पता: ==
* दिल्ली - 110091
* राज्य: दिल्ली
* फोन: 9250725116 9211530510
* ईमेल: water.community@gmail.com

* वेबसाइट: watercommunity.in

* सम्पर्क व्यक्ति: मीनाक्षी अरोड़ा (चेयर पर्सन)
शिराज केसर<br />
विशेषज्ञता<br />
पानी पर जन जागरूकता अभियान<br />
वाटर लिटरेसी कार्यक्रम<br />
जल और स्वच्छता पर एडवोकेसी और अभियान<br />
पर्यावरण शिक्षा

[[श्रेणी:सरकारी संस्थान]]

* संगठन का नाम: वाटर कम्युनिटि इंडिया

== पता: ==
* दिल्ली - 110091
* राज्य: दिल्ली
* फोन: 9250725116 9211530510
* ईमेल: water.community@gmail.com

* वेबसाइट: watercommunity.in

* सम्पर्क व्यक्ति: मीनाक्षी अरोड़ा (चेयर पर्सन)
शिराज केसर<br />
विशेषज्ञता<br />
पानी पर जन जागरूकता अभियान<br />
वाटर लिटरेसी कार्यक्रम<br />
जल और स्वच्छता पर एडवोकेसी और अभियान<br />
पर्यावरण शिक्षा

[[श्रेणी:सरकारी संस्थान]]

",230,पर्यावरण
प्रारम्‍भ शैक्षिक संवाद + Extra from प्रारम्‍भ शैक्षिक संवाद,"प्रारम्‍भ शैक्षिक संवाद हिन्दी की एक त्रैमासिक पत्रिका है। यह पत्रिका लखनऊ से नालंदा-गैर सरकारी संस्था के द्वारा वर्ष 2003 से प्रभात झा के सम्पादन में नियमित रूप से प्रकाशि‍त हो रही है तथा उत्तर प्रदेश से इस विषय पर निकलने वाली इकलौती पत्रिका है। इसमें प्राथमिक शि‍क्षा में विकल्पों की तलाश करते हुए लेख, प्राथमिक शि‍क्षा में भाषा, गणि‍त, पर्यावरण अध्ययन, कला आदि पर विचारात्मक आलेख, शि‍क्षक प्रशि‍क्षण सम्बंधी सामग्री, शि‍क्षकों के अनुभव, शि‍क्षा के सामाजिक संदर्भ को रेखांकित करते हुए आलेख तथा बाल मनोविज्ञान के व्यवहारिक पक्ष एवं उससे जुडी कहानियां व कविताएं आदि प्रकाशि‍त होती हैं। 


== सन्दर्भ ==

'''प्रारम्‍भ शैक्षिक संवाद''' हिन्दी की एक त्रैमासिक [[पत्रिका]] है। यह पत्रिका [[लखनऊ]] से [[नालंदा-गैर सरकारी संस्था]] के द्वारा वर्ष 2003 से प्रभात झा के सम्पादन में नियमित रूप से प्रकाशि‍त हो रही है तथा उत्तर प्रदेश से इस विषय पर निकलने वाली इकलौती पत्रिका है। इसमें प्राथमिक शि‍क्षा में विकल्पों की तलाश करते हुए लेख, प्राथमिक शि‍क्षा में भाषा, गणि‍त, पर्यावरण अध्ययन, कला आदि पर विचारात्मक आलेख, शि‍क्षक प्रशि‍क्षण सम्बंधी सामग्री, शि‍क्षकों के अनुभव, शि‍क्षा के सामाजिक संदर्भ को रेखांकित करते हुए आलेख तथा बाल मनोविज्ञान के व्यवहारिक पक्ष एवं उससे जुडी कहानियां व कविताएं आदि प्रकाशि‍त होती हैं।<ref>{{Cite web |url=http://me.scientificworld.in/2013/02/online-hindi-magazines.html#.Ud5GFDv9u8J |title=मेरी दुनिया मेरे सपने, शीर्षक: ऑनलाइन/ऑफलाइन हिन्‍दी मैग्‍ज़ीन का वृहद संग्रह। |access-date=29 जुलाई 2013 |archive-url=https://web.archive.org/web/20130801030550/http://me.scientificworld.in/2013/02/online-hindi-magazines.html#.Ud5GFDv9u8J |archive-date=1 अगस्त 2013 |url-status=live }}</ref><ref>{{Cite web |url=http://nalandaindia.org/News%20Letter.html |title=नालंदा-गैर सरकारी संस्था का वेब पेज। |access-date=10 अप्रैल 2014 |archive-url=https://web.archive.org/web/20140413001922/http://nalandaindia.org/News%20Letter.html |archive-date=13 अप्रैल 2014 |url-status=dead }}</ref> 
== सन्दर्भ ==
{{टिप्पणीसूची}}

{{हिन्दी भाषा की पत्रिका}}
[[श्रेणी:हिन्दी पत्रिकाएँ]]
[[श्रेणी:सामाजिक पत्रिकाएँ]]
[[श्रेणी:साहित्यिक पत्रिकाएँ]]
[[श्रेणी:शैक्षिक पत्रिकाएँ]]

{{substub}}

",257,पर्यावरण
राष्ट्रीय उच्चतर शिक्षा अभियान,"राष्‍ट्रीय उच्‍चतर शिक्षा अभियान (RUSA/रूसा) भारत सरकार की एक प्रायोजित योजना है जिसे राज्‍यों के पात्र उच्‍चतर शैक्षिक संस्‍थाओं को वित्‍तपोषित करने के उद्देश्‍य से वर्ष 2013 में प्रारंभ किया गया था। 


== उद्देश्‍य एवं विशेषताएँ ==
निर्धारित मापदंडों को सुनिश्चित करते हुए राज्‍य संस्‍थाओं की समग्र गुणवत्‍ता में सुधार करना और प्रत्‍यायन को अनिवार्य गुणवत्‍ता आश्‍वासन कार्यढांचे के रूप में अंगीकार करना।
राज्‍य स्‍तर पर योजना और मॉनीटरिंग के लिए सांस्‍थानिक ढांचे का निर्माण करके, राज्‍य विश्‍वविद्यालयों में स्‍वायत्‍ता प्रोत्‍साहित करके और संस्‍थाओं के अभिशासन में सुधार करके राज्‍य उच्‍चतर शिक्षा प्रणाली में परिवर्तनकारी सुधार करना।
संबंधन, शैक्षिक और परीक्षा प्रणाली में सुधारों को सुनिश्चित करना।
सभी उच्‍चतर शैक्षिक संस्‍थाओं में गुणत्‍तायुक्‍त संकाय की पर्याप्‍त उपलब्‍धता को सुनिश्चित करना और रोजगार के सभी स्‍तरों में क्षमता निर्माण को सुनिश्चित करना।
उच्‍चतर शैक्षिक संस्‍थाओं को अनुसंधान और नवाचार के क्षेत्र में समर्पित करने के लिए योग्‍य पर्यावरण का निर्माण करना।
वर्तमान संस्‍थाओं में अतिरिक्‍त क्षमता का निर्माण करके सांस्‍थानिक आधार को विस्‍तार प्रदान करना और नामांकन लक्ष्‍यों को प्राप्‍त करने के लिए नए संस्‍थानों को स्‍थापित करना।
असेवित और अल्‍पसेवित क्षेत्रों में संस्‍थाओं को स्‍थापित करके उच्‍चतर शिक्षा में पहुंच बनाने में क्षेत्रीय असंतुलनों को संतुलित करना।
अनुसूचित जाति/अनुसूचित जनजाति और सामाजिक और शैक्षिक रूप से पिछड़े वर्गों को उच्‍चतर शिक्षा के पर्याप्‍त अवसर प्रदान करके उच्‍चतर शिक्षा के क्षेत्र में समानता में सुधार करना; महिलाओं, अल्‍पसंख्‍यकों और नि:शक्‍तजनों के समावेशन को प्रोत्‍साहित करना।


== बाहरी कड़ियाँ ==
राष्ट्रीय उच्चतर शिक्षा अभियान",242,पर्यावरण
"भारतीय विज्ञान शिक्षा एवं अनुसंधान संस्थान, भोपाल","भारतीय विज्ञान शिक्षा एवं अनुसंधान संस्थान, भोपाल (Indian Institute of Science Education and Research, Bhopal) (IISER-B या IISER-Bhopal) एक स्वायत्त अनुसंधान संस्थान है जो भोपाल, मध्य प्रदेश, भारत के भौरी क्षेत्र में स्थित है। इसकी स्थापना शिक्षा मंत्रालय (भारत), भारत सरकार द्वारा २००८ में बुनियादी विज्ञान में अनुसंधान को स्नातक और स्नातक स्तर पर सम्मिलित करने के लिए की गई थी, जिसमें विज्ञान में अनुसंधान और शिक्षा के लिए उच्च शिक्षा पर समान जोर दिया गया था। यह एक स्वायत्त संस्थान है जो डिग्री प्रदान करता है।


== इतिहास ==
भारतीय विज्ञान शिक्षा एवं अनुसंधान संस्थान (IISERs) २००६ में मानव संसाधन विकास मंत्रालय, भारत सरकार की एक घोषणा के माध्यम से, बुनियादी विज्ञान में गुणवत्तापूर्ण शिक्षा और अनुसंधान को बढ़ावा देने के लिए, राष्ट्रीय महत्व के संस्थानों की श्रेणी के तहत बनाए गए थे। घोषणा के तुरंत बाद, २००६ में क्रमशः पुणे और कोलकाता  प्रारम्भ किए गए। इसके बाद मोहाली (२००७), भोपाल और तिरुवनंतपुरम (२००८), तिरुपति (२०१५) और बेरहामपुर (२०१६) में संस्थानों का निर्माण किया गया। प्रत्येक आईआईएसईआर विज्ञान, शिक्षा और अनुसंधान को एकीकृत करने पर मुख्यता से ध्यान देने वाला स्वायत्त संस्थान है।


== विभाग ==
प्रकृति विज्ञान

जैविक विज्ञान: बैचलर ऑफ साइंस और मास्टर ऑफ साइंस (बीएस-एमएस डबल डिग्री), मास्टर ऑफ साइंस (एमएस डिग्री), और पीएचडी कार्यक्रम
रसायन विज्ञान: बीएस, बीएस-एमएस (डबल डिग्री), मास्टर ऑफ साइंस (एमएस डिग्री), और पीएचडी कार्यक्रम
पृथ्वी और पर्यावरण विज्ञानः बीएस, बीएस-एमएस (डबल डिग्री) और पीएचडी कार्यक्रम
गणित: बीएस, बीएस-एमएस (डबल डिग्री), मास्टर ऑफ साइंस (एमएस डिग्री), एकीकृत पीएचडी और पीएचडी कार्यक्रम
भौतिकी: बीएस, बीएस-एमएस (डबल-डिग्री), एकीकृत पीएचडी और पीएचडी कार्यक्रम
इंजीनियरिंग साइंस

रासायनिक इंजीनियरिंग: बीएस, बीएस-एमएस (डबल डिग्री), और पीएचडी कार्यक्रम
डाटा साइंस इंजीनियरिंगः बीएस, बीएस-एमएस (डबल डिग्री), और पीएचडी कार्यक्रम
इलेक्ट्रिकल इंजीनियरिंग और कंप्यूटर साइंसः बीएस, बीएस-एमएस (डबल डिग्री), और पीएचडी कार्यक्रम
मानविकी और सामाजिक विज्ञान

आर्थिक विज्ञान: बीएस, बीएस-एमएस (डबल डिग्री), और पीएचडी कार्यक्रम
मानविकी और सामाजिक विज्ञानः पीएचडी कार्यक्रम


== अन्य संस्थान ==


== सन्दर्भ ==",317,पर्यावरण
वासु प्रिमलानी,"ऋतू वासु प्रिमलानी एक भारतीय स्टैंड उप कोमेडियन व पर्यावरणवादी हैं। २०१५ में अपने काम के लिए उन्होंने भारत सरकार द्वारा ""नारि शक्ति पुरस्कार"" से सम्मानित किया गया था। 


== व्यावसायिक जीवन ==
प्रिमलानी नयी दिल्ली में पली बड़ी हैं और उन्होंने यूसीएलऐ से भूगोल में मास्टर की डिग्री हासिल की हैं। 


== करियर ==
वासु प्रिमलानी ने संयुक्त राष्ट्र में पर्यावरण शिक्षा के लिए एक गैर लाभकारी संस्थान ""थिमक्का"" की स्थापना की। इस संगठन ने रेस्तरां के लिए पर्यावरण परामर्श सेवाएं प्रदान कीं और २००३ में कैलिफोर्निया गवर्नर्स पर्यावरण और आर्थिक नेतृत्व पुरस्कार प्राप्त किया। प्रिमलानी के संगठन को २००३ में यूएस ईपीए क्षेत्र ९ पुरस्कार भी मिला था। 
प्रिमलानी ने न्यूयॉर्क शहर, सैन फ्रांसिस्को, मुंबई, दुबई, बैंगलोर, हैदराबाद, चंडीगढ़, पुणे और दिल्ली सहित दुनिया भर के सैकड़ों कॉरपोरेट और कॉमेडी क्लब शोज में प्रदर्शन किया है।  वह अपनी कोमेडी के माध्यम से साहसी मुद्दों जैसे मानवाधिकार, पर्यावरण, और बालात्कार को आवाज देती हैं व सामाजिक सन्देश पहुचाती हैं। 


== पुरस्कार ==
भारत के राष्ट्रपति द्वारा नारि शक्ति पुरस्कार (२०१५)
ग्लोबल अशोक इनोवेटर्स फॉर द पब्लिक सोशल एंटरप्रेन्योर फेलोशिप (२००४)
यूएस ईपीऐ क्षेत्रीय ९ पर्यावरण पुरस्कार (२००४)
कैलिफोर्निया गवर्नर का पर्यावरण और आर्थिक नेतृत्व पुरस्कार (२००३)


== सन्दर्भ ==",200,पर्यावरण
सुधीर रंजन खास्त्गीर + Extra from सुधीर रंजन खास्त्गीर,"सुधीर रंजन खास्त्गीर भारत के महान चित्रकार माने जाते हैं।                           इनका माध्यम सीमेंट वा प्लास्टर।           इनकी शिक्षा शांति निकेतन में अवनिद्र नाथ टैगोर के सानिध्य में हुआ         1950 लखकनऊ में गवर्मेंट कॉलेज ऑफ आर्ट एंड क्राफ्ट में प्राचार्य पद प्र नियुक्ति हुए


== परिवार ==
उनके बड़े भाई, सतीश रंजन खस्तगीर, एक प्रसिद्ध भौतिक विज्ञानी थे। उनकी बेटी श्यामोली खस्तगीर, एक पर्यावरण कार्यकर्ता हैं, जिनकी शादी एक वास्तुकार ली टैन (शांतिनिकेतन के चीनी विद्वान टैन युन-शान के बेटे) से हुई थी, जो शांतिनिकेतन के पूर्व पल्ली में रहती हैं।


== बाहरी कड़ियाँ ==

{{Infobox artist
| name          = सुधीर रंजन खास्त्गीर
| image         = Sudhir Khastgir at The Doon School.jpg
| caption       = खास्त्गीर [[दून विद्यालय]] में, जहां 1935 में इसके खुलने पर वे पहले कला शिक्षक थे।
| birth_name    = 
| birth_date    = {{birth date|1907|09|24|df=yes}}  
| birth_place   = [[चटगाँव (शहर)]], [[बंगाल प्रेसीडेंसी]], ब्रिटिश भारत 
| death_date    = {{death date and age|df=yes|1974|06|06|1907|09|24}}
| death_place   = [[कोलकाता]], [[पश्चिम बंगाल]], [[India]] 
| nationality   = भारतीय
| education     = 
| known_for     = [[चित्रकारी]]
| notable_works = 
| movement      = [[बंगाल स्कूल ऑफ आर्ट]], आधुनिक भारतीय कला
| patrons       =
}}

'''सुधीर रंजन खास्त्गीर''' [[भारत]] के महान चित्रकार माने जाते हैं।                           इनका माध्यम सीमेंट वा प्लास्टर।           इनकी शिक्षा शांति निकेतन में अवनिद्र नाथ टैगोर के सानिध्य में हुआ         1950 लखकनऊ में गवर्मेंट कॉलेज ऑफ आर्ट एंड क्राफ्ट में प्राचार्य पद प्र नियुक्ति हुए

==परिवार==
उनके बड़े भाई, सतीश रंजन खस्तगीर, एक प्रसिद्ध भौतिक विज्ञानी थे। उनकी बेटी श्यामोली खस्तगीर, एक पर्यावरण कार्यकर्ता हैं, जिनकी शादी एक वास्तुकार ली टैन (शांतिनिकेतन के चीनी विद्वान टैन युन-शान के बेटे) से हुई थी, जो शांतिनिकेतन के पूर्व पल्ली में रहती हैं।

== बाहरी कड़ियाँ==
{{विश्व के महान चित्रकार}}

[[श्रेणी:भारतीय चित्रकार]]

{{आधार}}

",284,पर्यावरण
