title,content,word_count,topic
मानदण्डक नीतिशास्त्र,"मानदण्डक नीतिशास्त्र (अंग्रेज़ी: Normative ethics) नीतिशास्त्रीय कार्य का अध्ययन हैं। यह दार्शनिक नीतिशास्त्र की शाखा हैं, जो उन प्रश्नों को जाँचती हैं, जिनका उद्गम यह सोचते वक़्त होता हैं कि नैतिक तौर पर किसी को कैसे कार्य करना चाहियें। इसकी व्युपत्ति मानदण्डक से हुई, जिसका सम्बन्ध किसी आदर्श मानक या मॉडल से हैं, या उस पर आधारित हैं, जो, कोई चीज़ करने का सामान्य या उचित तरीका माना जाता हो।
मानदण्डक नीतिशास्त्र अधिनीतिशास्त्र (मेटा-ऍथिक्स, meta-ethics) से अलग हैं, क्योंकि वह कार्यों के सही या गलत होने के मानकों का परीक्षण करता हैं, जबकि मेटा-नीतिशास्त्र नैतिक भाषा और नैतिक तथ्यों के तत्वमीमांसा के अर्थ का अध्ययन करता हैं। मानदण्डक नीतिशास्त्र वर्णात्मक नीतिशास्त्र से भी भिन्न हैं, क्योंकि पश्चात्काथित लोगों की नैतिक आस्थाओं की अनुभवसिद्ध जाँच हैं। अन्य शब्दों में, वर्णात्मक नीतिशास्त्र का सम्बन्ध यह निर्धारित करने से हैं कि किस अनुपात के लोग मानते हैं कि हत्या सदैव गलत हैं, जबकि मानदण्डक नीतिशास्त्र का सम्बन्ध इस बात से हैं कि क्या यह मान्यता रखनी गलत हैं। अतः, कभी-कभी मानदण्डक नीतिशास्त्र को वर्णात्मक के बजाय निर्देशात्मक कहा जाता हैं। हालांकि, मेटा-नीतिशास्त्रीय दृष्टि के कुछ संस्करणों में जिन्हें नैतिक यथार्थवाद कहा जाता हैं, नैतिक तथ्य एक ही वक़्त पर, दोनों वर्णात्मक और निर्देशात्मक होते हैं।
ज़्यादातर परम्परागत नैतिक सिद्धांत उन सिद्धान्तों पर आधारित हैं जो निर्धारित करते हैं कि कोई कार्य सही या गलत हैं या नहीं। इस शैली में, क्लासिकी सिद्धान्तों में उपयोगितावाद, काण्टीयवाद और कुछ संविदीयवाद के रूप शामिल हैं। यह सिद्धान्त मुश्किल नैतिक निर्णयों का समाधान करने हेतु मुख्यतः नैतिक सिद्धान्तों का व्यापक उपयोग प्रदान करते हैं।",257,नीतिशास्त्र
वर्णात्मक नीतिशास्त्र,"वर्णात्मक नीतिशास्त्र (अंग्रेज़ी: descriptive ethics), जिसे तुलनात्मक नीतिशास्त्र (अंग्रेज़ी: comparative ethics) भी कहा जाता हैं, नैतिकता के बारे में लोगो की आस्थाओं का अध्ययन हैं।:26  वर्णात्मक नीतिशास्त्र निर्देशात्मक या मानदण्डक नीतिशास्त्र से अलग हैं, जो उन नीतिशास्त्रीय सिद्धान्तों का अध्ययन करता हैं, जो ये निर्देशित करते हैं कि लोगों को कैसे कार्य करना चाहिये। और, वर्णात्मक नीतिशास्त्र मेटा-नीतिशास्त्र से भी अलग हैं, जो इसका अध्ययन करता हैं कि नीतिशास्त्रीय शब्द और सिद्धान्त असल में किसे सन्दर्भित करते हैं। प्रत्येक क्षेत्र में माने हुएँ निम्न प्रश्नों के उदाहरण, क्षेत्रों के बीच के अन्तर को दर्शाते हैं :

वर्णात्मक नीतिशास्त्र : लोग किसे सही सोचते हैं?
मेटा-नीतिशास्त्र : ""सही"" का अर्थ ही क्या हैं?
मानदण्डक (निर्देशात्मक) नीतिशास्त्र : लोगों को कैसे कार्य करना चाहियें?
अनुप्रयुक्त नीतिशास्त्र : हम नैतिक ज्ञान को लेकर व्यवहार में कैसे डालें?",134,नीतिशास्त्र
व्यवहारवादी नीतिशास्त्र,"व्यवहारवादी नीतिशास्त्र मानदण्डक दार्शनिक नीतिशास्त्र का एक सिद्धान्त हैं। नीतिशास्त्रीय व्यवहारवादी, जैसे कि जॉन डूई मानते हैं कि, कुछ समाज ने उसी तरह नैतिक रूप से प्रगति की हैं, जैसे उन्होंने विज्ञान में प्रगति प्राप्त की हैं।",37,नीतिशास्त्र
अधिनीतिशास्त्र,"अधिनीतिशास्त्र (metaethics) नीतिशास्त्र की वह शाखा है जो नीतियों के गुणों, दावों, मनोदृष्टि और निर्णयों को समझने का प्रयास करती है। दर्शनशास्त्री अक्सर नीतिशास्त्र की तीन शाखाओं का अध्ययन करते हैं: अधिनीतिशास्त्र, मानदण्डक नीतिशास्त्र (normative ethics) और अनुप्रयुक्त नीतिशास्त्र (applied ethics)।
जहाँ मानदण्डक नीतिशास्त्र ""मुझे क्या करना चाहिये?"" जैसे प्रशनों का उत्तर देने की चेष्टा करते हुए कई विकल्पों में से एक चुनने में सहायता करने का प्रयास करता है, वहाँ अधिनीतिशात्र का प्रयास ""अच्छाई क्या है?"" और ""हम अच्छे और बुरे में अंतर कैसे समझ सकते हैं?"" जैसे गूढ़ प्रशनों से जूझता है। अधिनीतिशास्त्र पर बल देने वाले नीतिशास्त्री यह मानते हैं कि किसी नैतिक सिद्धांत को अच्छा या बुरा बताने से पहले यह तत्त्वमीमांसिक स्तर पर समझना आवश्यक है कि अच्छाई और बुराई की परिभाषा क्या है। इसके विपरीत अन्यों का मानना है कि विश्व में अच्छे और बुरे निर्णयों को देखकर हम यह समझ सकते हैं कि अच्छा नैतिक सिद्धांत क्या है और बुरा क्या है।",159,नीतिशास्त्र
गुण नीतिशास्त्र,"साँचा:Socrates
गुण नीतिशास्त्र (या आरेतीक नीतिशास्त्र यूनानी आरेती से) एक मानदण्डक नीतिशास्त्रीय सिद्धान्त हैं, जो मन और चरित्र के गुणों पर ज़ोर डालता हैं। गुण नीतिशास्त्रवादी गुणों के प्रकृति और परिभाषा की तथा अन्य सम्बन्धित समस्याओं की चर्चा करते हैं। उदाहरणार्थ, गुण कैसे कैसे सम्प्राप्त होते हैं? वास्तविक जीवन के विभिन्न प्रसंगों में उनका अनुप्रयोग कैसे होता हैं? क्या गुण सार्वलौकिक मानवी स्वभाव के मूल में स्थित हैं, या संस्कृतियों के बहुलवाद में?",73,नीतिशास्त्र
कर्तव्यवैज्ञानिक नीतिशास्त्र,"कर्तव्यवैज्ञानिक नीतिशास्त्र या कर्तव्यविज्ञान (अंग्रेज़ी: Deontological ethics or Deontology) (यूनानी δέον से, डिऑन, ""कर्तव्य"", ""दायित्व"") वह मानदण्डक नीतिशास्त्रीय स्थिति हैं, जो किसी कार्य की नैतिकता को नियम या नियमों के अनुपालन के आधार पर, जज करती हैं। कभी-कभी, इसका वर्णन ""कर्तव्य-"" या ""दायित्व-"" या ""नियम-"" आधारित नीतिशास्त्र के रूप में होता हैं, क्योंकि नियम ""आपको आपके कर्तव्य से बाँधते हैं""। सामान्यतः, कर्तव्यवैज्ञानिक नीतिशास्त्र को परिणामवाद, गुण नीतिशास्त्र और व्यवहारिक नीतिशास्त्र के विपरीत माना जाता हैं। इस पारिभाषिकी में, कार्य, परिणाम से अधिक महत्त्वपूर्ण हैं।",84,नीतिशास्त्र
निकोमेकियन नीतिशास्त्र,"निकोमेकियन नीतिशास्त्र या निकोमेकियन एथिक्स (प्राचीन यूनानी : Ἠθικὰ Νικομάχεια , इथिका निकोमाखेया ) नीतिशास्त्र पर अरस्तू का  सबसे प्रसिद्ध कार्य है : मानव जीवन के लिए अच्छाई का विज्ञान, वह जो अंत या लक्ष्य है, जिसकी ओर हमारे सभी कार्य प्रयोजित है। इसमें दस उपखंड शामिल हैं, जिन्हें किताबें या स्क्रॉल (पत्रावलि) कहा जाता है, और यह अरस्तू के यूदोमोनीय नीति से निकटता से संबंधित है । यह कार्य अरिस्टोटेलियन नैतिकता को समझाने में एक प्रमुख भूमिका निभाता है।
इस कार्य का विषय एक सुकरातीय प्रश्न है जोकि पहले अरस्तू के मित्र और शिक्षक प्लेटो के कार्यों में खोजा गया था, कि पुरुषों को सबसे अच्छा जीवन कैसे जीना चाहिए। अरस्तू के मेटाफिजिक्स में , उन्होंने वर्णन किया है कि कैसे प्लेटो के मित्र और शिक्षक सुकरात ने दर्शन को मानवीय प्रश्नों की ओर मोड़ दिया, जबकि पूर्व-सुकराती दर्शन केवल सैद्धांतिक था। अरस्तू का कहना है कि इन शब्दों के अरिस्टोटेलियन अर्थों में नैतिकता सैद्धांतिक के बजाय व्यावहारिक है। यह केवल इस बात की जांच नहीं है कि अच्छाई में क्या शामिल है, बल्कि यह अच्छाई को प्राप्त करने में व्यावहारिक मदद की उम्मीद करता है।",187,नीतिशास्त्र
चिकित्सा नीतिशास्त्र,"चिकित्सा नीतिशास्त्र या वैद्यकीय आचारशास्त्र (अंग्रेजी-medical ethics), नीतिशास्त्र की एक अनुप्रयुक्त शाखा है जो नैदानिक ​​चिकित्सीय आयुर्विज्ञान (clinical medicine) और संबंधित वैज्ञानिक अनुसंधान के अभ्यास व आचरण का विश्लेषण करती है। चिकित्सा नीतिशास्त्र, मूल्यों के एक समूह पर आधारित है जिसे वृत्तिक किसी भी भ्रम या संघर्ष के मामले में संदर्भित कर सकते हैं। इन मूल्यों में स्वायत्तता, गैर-दुर्भावना, उपकार और न्याय के लिए सम्मान शामिल है। इस तरह के सिद्धांत चिकित्सकों, स्वास्थ्य प्रदाताओं और परिवारों को एक उपचार योजना बनाने और समान लक्ष्य की दिशा में काम करने में सहायक हो सकता हैं।यह ध्यान रखना महत्वपूर्ण है कि इन चार मूल्यों को महत्व या प्रासंगिकता के क्रम में क्रमबद्ध नहीं किया गया है और वे सभी चिकित्सा नीतिशास्त्र से संबंधित अन्य मूल्यों को शामिल करते हैं। हालांकि, एक नैतिक प्रणाली में पदानुक्रम की आवश्यकता के कारण एक संघर्ष उत्पन्न हो सकता है, जैसे कि कुछ नैतिक तत्व एक कठिन चिकित्सा स्थिति के लिए सर्वोत्तम नैतिक निर्णय को लागू करने के उद्देश्य से दूसरों पर शासन करते हैं। अनैच्छिक उपचार और अनैच्छिक प्रतिबद्धता के संबंध में निर्णयों में चिकित्सा नीतिशास्त्र विशेष रूप से प्रासंगिक है ।",186,नीतिशास्त्र
अनुप्रयुक्त नीतिशास्त्र,"अनुप्रयुक्त नीतिशास्त्र निजी और सार्वजनिक जीवन के विशिष्ट मुद्दों का, नैतिक दृष्टिकोण से, दार्शनिक परिक्षण हैं, जो नैतिक जजमेन्ट के मामले हैं। अतः, ये, रोजमर्रा के जीवन में अलग़-अलग़ क्षेत्रों में नैतिक रूप से सही कार्य-मार्ग पहचानने हेतु दार्शनिक पद्धतियों का उपयोग करने के प्रयास हैं। उदाहरणार्थ, जीव विज्ञान - जैसे कि यूथनेसिया, दुर्लभ स्वास्थ्य संसाधनों का आवंटन, अथवा संशोधन में मानवी भ्रूण का इस्तेमाल - इन में विधिक मुद्दों के लिए सही दृष्टिकोण को पहचानने से जैवनीतिशास्त्र समुदाय की चिन्ता हैं।",82,नीतिशास्त्र
नीतिशास्त्र (तेलुगु),"नीतिसार या नीतिशास्त्र तेलुगु कवि बद्देना द्वारा रचित ग्रन्थ है जिसमें नीति-सम्बन्धी कथनों का संग्रह है। बद्देना (१२२० - १२८०?) ने 'सुमतिशतकम' और 'नीतिशास्त्र' की रचना की।
बद्देना के बारे में अधिक जानकारी का अभाव है। ऐसा माना जाता है कि वे एक चोल राजकुमार थे जिनको 'भद्र भूपाल' नाम से जाना जाता था।",54,नीतिशास्त्र
